No.of Days,Sun_PosX,Sun_PosY,Sun_PosZ,SunVecX,SunVecY,SunVecZ,SunVec_Mag,X_azi,Y_azi,Z_azi,nX_azi,nY_azi,nZ_azi,X_ele
84,19608512492.5,136071543157,58987831784.5,0.142631079483,0.989775921694,0.429073833992,137477124233,0,8.20012421393,0,0,0,0,23.2229050513
85,17072355160.5,136358998663,59112444467.4,0.124231649033,0.992253242564,0.430147707055,137423583070,0,7.13638665842,0,0,0,0,23.2748467944
86,14529910747.1,136606782063,59219859050.5,0.105766403396,0.994391003536,0.431074494424,137377332275,0,6.07132412439,0,0,0,0,23.3196416673
87,11981966842.6,136814755793,59310015899.1,0.0872441311461,0.996186961158,0.431852982404,137338432802,0,5.00508364666,0,0,0,0,23.3572453962
88,9429316730.57,136982796876,59382861703.6,0.0686732230231,0.997639207549,0.43248258759,137306948559,0,3.9377850972,0,0,0,0,23.3876419769
89,6872758950.21,137110797171,59438349585.3,0.0500627755789,0.998746073084,0.432962373237,137282942539,0,2.86958526841,0,0,0,0,23.4107960906
90,4313096844.49,137198663602,59476439195.2,0.0314213078991,0.9995062288,0.433291917646,137266438441,0,1.8006047014,0,0,0,0,23.4266949772
91,1751138095.76,137246318366,59497096806.3,0.012758086721,0.9999186123,0.433470683119,137257493339,0,0.731004355472,0,0,0,0,23.4353179274
92,-812305750.784,137253699130,59500295398.4,-0.00591820156568,0.999982487292,0.433498343284,137256098673,0,-0.339089951484,0,0,0,0,23.4366520455
93,-3376419774.82,137220759211,59486014734.6,-0.024598291714,0.999697416244,0.433374794643,137262296828,0,-1.40952046731,0,0,0,0,23.4306927806
94,-5940386178.67,137147467734,59454241431.3,-0.0432732862443,0.99906327262,0.43309983414,137276053768,0,-2.48015112432,0,0,0,0,23.4174283634
95,-8503384794.34,137033809773,59404969018.9,-0.0619340750408,0.99808024244,0.432673726767,137297391485,0,-3.55083364541,0,0,0,0,23.3968671879
96,-11064593598.7,136879786474,59338197995.1,-0.0805715537625,0.9967488273,0.432096500573,137326254170,0,-4.62141940998,0,0,0,0,23.3690038132
97,-13623189236,136685415158,59253935869.8,-0.0991768539236,0.995069822498,0.431368663102,137362640566,0,-5.69177204872,0,0,0,0,23.3338535604
98,-16178347546.2,136450729405,59152197200.3,-0.117740748801,0.993044367625,0.430490599879,137406475770,0,-6.76173264032,0,0,0,0,23.2914235182
99,-18729244098.5,136175779113,59033003619.7,-0.13625461665,0.990673851195,0.429462947555,137457732124,0,-7.83117454291,0,0,0,0,23.2417306058
100,-21275054729,135860630549,58896383854.8,-0.154709262154,0.987960041805,0.428286520337,137516320576,0,-8.89993480627,0,0,0,0,23.1847980924
101,-23814956080.9,135505366361,58742373736,-0.173096263785,0.984904910874,0.426962047176,137582181178,0,-9.96789142308,0,0,0,0,23.120642946
102,-26348126146.4,135110085590,58571016198.1,-0.191406632631,0.98151082571,0.425490742123,137655218701,0,-11.0348850576,0,0,0,0,23.049303536
103,-28873744809.4,134674903642,58382361271.9,-0.20963210284,0.97778033395,0.423873485631,137735333632,0,-12.1007934093,0,0,0,0,22.970800058
104,-31390994387.6,134199952255,58176466067.1,-0.227764033771,0.97371635753,0.422111772292,137822432150,0,-13.1654667218,0,0,0,0,22.8851805981
105,-33899060172.9,133685379435,57953394746.1,-0.245794314446,0.969322007893,0.420206753118,137916371405,0,-14.2287800918,0,0,0,0,22.7924747602
106,-36397130968.8,133131349377,57713218489,-0.263714734243,0.964600714774,0.418160051589,138017060693,0,-15.2905960817,0,0,0,0,22.6927334343
107,-38884399624.2,132538042360,57456015449.2,-0.281517385438,0.959556127434,0.415973197852,138124318510,0,-16.3507879032,0,0,0,0,22.5860014169
108,-41360063562.2,131905654630,57181870701,-0.299194520167,0.95419213951,0.413647833966,138238049728,0,-17.4092305708,0,0,0,0,22.4723275156
109,-43823325302.3,131234398254,56890876178,-0.316738505182,0.948512898877,0.411185901673,138358048203,0,-18.4657977124,0,0,0,0,22.3517738959
110,-46273392975.6,130524500963,56583130603.1,-0.33414207046,0.942522719487,0.408589042829,138484199593,0,-19.5203761436,0,0,0,0,22.2243868793
111,-48709480832.5,129776205966,56258739410.2,-0.351397919872,0.93622620232,0.405859540292,138616291642,0,-20.5728419961,0,0,0,0,22.0902432032
112,-51130809739.4,128989771755,55917814657.4,-0.368499280729,0.929628033195,0.402999110327,138754175667,0,-21.6230937753,0,0,0,0,21.9493909147
113,-53536607667.3,128165471882,55560474932.6,-0.385439237778,0.92273321929,0.400010227776,138897648299,0,-22.671011385,0,0,0,0,21.8019146642
114,-55926110166.6,127303594729,55186845251.3,-0.402211535004,0.915546766206,0.396894806637,139046518825,0,-23.7165052019,0,0,0,0,21.6478709043
115,-58298560832.3,126404443248,54797056946.4,-0.418809678741,0.908074034973,0.393655346229,139200597961,0,-24.7594603201,0,0,0,0,21.4873445761
116,-60653211753.7,125468334697,54391247551.4,-0.435227925778,0.900320305571,0.390294064332,139359656386,0,-25.7997980344,0,0,0,0,21.3204064524
117,-62989323951.7,124495600350,53969560676.2,-0.451460264399,0.892291224696,0.386813364177,139523513644,0,-26.8374116616,0,0,0,0,21.1471363808
